Price,Open,High,Low,Close,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2015-04-14,3.482231806765165,3.501470572535721,3.2898433627340258,3.4245152473449707,87127100
2015-04-15,3.490477236189303,3.67736901740699,3.427263993782466,3.6663753986358643,103042800
2015-04-16,3.641639523439082,3.6636267599704087,3.4410059245635916,3.567432403564453,109852700
2015-04-17,3.4657417539899082,3.6388914574857485,3.4410063067264143,3.559187650680542,71274400
2015-04-20,3.6361428069137958,3.6773690745272924,3.578426504050292,3.5921683311462402,52514600
2015-04-22,3.6251487622195886,3.6526329374007322,3.479483262819975,3.5729291439056396,65914800
2015-04-23,3.380540394512905,3.64438745608729,3.2678557583805574,3.5371994972229004,182613700
2015-04-24,3.6251485934787753,3.7873046428608554,3.616903446151629,3.6333940029144287,106143700
2015-04-27,3.559187523350453,3.6059104700242544,3.4382577133237957,3.4410061836242676,53111300
2015-04-28,3.5069673256651894,3.537199707709221,3.3667985085266103,3.5097157955169678,60884300
2015-04-29,3.4574972288487595,3.5536916132976177,3.4437551364834067,3.523458957672119,35821900
2015-04-30,3.526206341221769,3.6141552858662087,3.5179611931884853,3.5894198417663574,48515300
2015-05-04,3.6581304133119166,3.806544404398682,3.6553819429693606,3.7900538444519043,55651100
2015-05-05,3.7653173661386115,4.015422349813651,3.7570722189044083,3.9659512042999268,76329800
2015-05-06,4.053900968840438,4.108869065148766,3.729588807458464,3.7900538444519043,72197500
2015-05-07,3.7928017521123114,3.8615119278313443,3.6636265483701447,3.754323959350586,44978900
2015-05-08,3.8587637996160224,3.872505888398487,3.671872021235003,3.7130982875823975,43687900
2015-05-11,3.7598211587882364,3.801047162222382,3.6911109783256357,3.7845568656921387,28040500
2015-05-12,3.7653187116663354,3.8642615622677874,3.746079940542097,3.773563861846924,30765100
2015-05-13,3.812041795898893,3.8835004655181167,3.779060931945853,3.8422741889953613,45346800
2015-05-14,3.8752539074311696,3.9109829671541476,3.7818080291193508,3.8202855587005615,49457700
2015-05-15,3.825783312608202,3.8807514109284353,3.740582563630414,3.858764171600342,54224100
2015-05-18,4.023667583343597,4.026415790895912,3.71584605826228,3.76531720161438,82200400
2015-05-19,3.724091784938634,3.73508540318497,3.515212776149718,3.542696952819824,70521100
2015-05-20,3.506967508594889,3.605910069443342,3.471238184983594,3.5289547443389893,43164900
